installation_id,year,free,emission
AT_77,2013,234296,247483
AT_77,2014,230227,246694
AT_77,2015,226109,211388
AT_77,2016,221949,225418
AT_77,2017,217744,256444
AT_77,2018,213498,271930
AT_77,2019,209199,227618
AT_77,2020,204885,260496
AT_111,2013,9852,9467
AT_111,2014,9681,10887
AT_111,2015,9507,10384
AT_111,2016,9332,11261
AT_111,2017,9155,11880
AT_111,2018,8977,15340
AT_111,2019,8797,15831
AT_111,2020,8615,13395
AT_119,2013,5899,5721
AT_119,2014,5797,6157
AT_119,2015,5693,6550
AT_119,2016,5588,5746
AT_119,2017,5484,5662
AT_119,2018,5376,6421
AT_119,2019,5268,7803
AT_119,2020,5159,6717
AT_112,2013,16650,15099
AT_112,2014,16361,18004
AT_112,2015,16068,18363
AT_112,2016,15773,19737
AT_112,2017,15473,20237
AT_112,2018,15173,21406
AT_112,2019,14867,17084
AT_112,2020,14560,18865
AT_113,2013,17614,22625
AT_113,2014,17308,21642
AT_113,2015,16998,22716
AT_113,2016,16686,22934
AT_113,2017,16370,23361
AT_113,2018,16051,25261
AT_113,2019,15727,26252
AT_113,2020,15403,24289
AT_116,2013,21782,24879
AT_116,2014,21404,28004
AT_116,2015,21021,25928
AT_116,2016,20634,26548
AT_116,2017,20243,24838
AT_116,2018,19849,28292
AT_116,2019,19449,26050
AT_116,2020,19048,25423
AT_117,2013,3406,2342
AT_117,2014,3347,1768
AT_117,2015,3287,1480
AT_117,2016,1614,1660
AT_117,2017,2405,1885
AT_117,2018,2358,1353
AT_115,2013,9360,4783
AT_115,2014,6347,3935
AT_115,2015,4517,5278
AT_115,2016,8867,5673
AT_115,2017,8699,4891
AT_94,2013,0,1209415
AT_94,2014,0,799590
AT_94,2015,0,565110
AT_94,2016,0,8
AT_99,2013,134654,903244
AT_99,2014,115795,852887
AT_99,2015,100969,869484
AT_99,2016,88375,772576
AT_99,2017,76177,809346
AT_99,2018,64375,742168
AT_99,2019,52953,706836
AT_99,2020,41942,371094
AT_101,2013,1551,36792
AT_101,2014,457,16630
AT_101,2015,0,2605
AT_101,2016,0,433
AT_101,2017,0,392
AT_101,2018,0,344
AT_101,2019,0,187
AT_110,2013,285329,345961
AT_110,2014,280106,322366
AT_110,2015,274832,402966
AT_110,2016,269519,358315
AT_110,2017,264160,392080
AT_110,2018,258761,432151
AT_110,2019,253307,419088
AT_110,2020,247846,386603
AT_10,2013,50855,56565
AT_10,2014,49868,56240
AT_10,2015,48876,57278
AT_10,2016,47877,52607
AT_10,2017,46872,58286
AT_10,2018,45862,59513
AT_10,2019,44845,59982
AT_10,2020,43829,57387
AT_11,2013,66255,67305
AT_11,2014,65023,64209
AT_11,2015,63780,64647
AT_11,2016,62528,66471
AT_11,2017,61268,66001
AT_11,2018,59998,61631
AT_11,2019,58716,68178
AT_11,2020,57433,70910
AT_84,2013,119124,370906
AT_84,2014,213208,280010
AT_84,2015,188880,440205
AT_84,2016,165322,604330
AT_84,2017,142503,651666
AT_84,2018,120425,541419
AT_84,2019,99059,386451
AT_84,2020,78461,347542
AT_85,2013,171412,362332
AT_85,2014,153397,379018
AT_85,2015,135894,439413
AT_85,2016,118944,534586
AT_85,2017,102526,409794
AT_85,2018,86642,630614
AT_85,2019,71270,640791
AT_85,2020,56451,854315
AT_86,2013,57903,77428
AT_86,2014,51818,3881
